《伤科补要》药酒方	《伤科补要》药酒方——（跌打损伤）<br>（《伤科补要》）<br>【配方】参三七、红花、生地黄、川芎、当归身、乌药、落得打、乳香、五加皮、防风、川牛膝、干姜、牡丹皮、肉桂、延胡索、姜黄、海桐皮各15克，好酒2.5公斤。<br>【制法】将上药适当粉碎，盛绢袋，浸于酒中，容器封固，隔水加热，煮1.5小时，取出放凉，再浸泡数日即可饮用。<br>【主治】跌打损伤，气滞血瘀，筋骨疼痛，活动受限等症。<br>【用法】适量饮用，每日2次。
《太平圣惠方》	（《太平圣惠方》）——（祛黧黑斑）<br>黧黑班又名“面　　”、“黧黑　　”。多由于肾亏火旺，血虚不荣，火燥结滞或肝郁气所致。好发于面部，女性多见。皮损呈黄褐或淡黑色斑块，形状大小不一，枯暗无光泽，境界清楚，不高出皮肤。与今之黄褐斑、黑肤黑变病相似。以下介绍治疗本病的两种药酒。<br>治面　　黑肤色粗陋皮厚状丑酒方<br>【配方】杏仁。<br>【制法】用杏仁酒浸，皮脱捣碎，绢袋盛。<br>【主治】治面　　黑，肤色粗陋，皮厚状丑。亦治面　。<br>【用法】夜取拭面。<br>说明：又方，用酒浸鸡子三枚，密封四七日成。敷面如白雪。
阿胶酒	阿胶酒<br>【来源】《圣济总录》<br>【原料】阿胶400克，黄酒1.5升。<br>【制作】把阿胶捣碎，置于黄酒中，上火慢熬，令其烊化后，装瓶备用。<br>【功效】阴虚咳嗽，眩晕心悸，虚劳咳血，吐血，崩漏下血。久患咳嗽，痰黄或挟血丝，肺结核等证。<br>【用法】每日3次，每次10-30毫升。<br>【宜忌】<br>【注释】阿胶又名傅致胶、盆复胶、驴皮胶，系用马科动物驴的皮支毛后熬至而成，因其原产于山东省东阿县而得名。《水经注》对此有记载："东阿县有大井，其巨若轮，深六七丈，岁常煮胶，《本草》所谓阿胶也"。东阿县现今之阳谷县，其井称"古阿井"，此井之水含有丰富的钙、钾、镁、钠等矿物质，色绿质量，每担古阿胶井水比普通井水约重1.5千克。阿胶之所以被誉为道地药材，与其利用阿井水熬制的阿胶品质优良，为在代帝王常用的滋补佳品，故又名"贡阿胶"。阿胶味甘性平，入肺、肝、肾诸经，《本草纲目》称其"和血滋阴，除风润燥，化痰清肺，利小便，调大肠"。目前临床上主要是作为滋阴、补血、润肺止血药使用。
阿胶酒方	阿胶酒方——（妊娠出血）<br><br>（《普济方》）<br>【配方】阿胶二两。<br>【制法】以酒一升半，煮胶消。<br>【主治】治妊娠无故卒下血不绝方。<br>【用法】分三服，连并服之。
艾蒿酒方	艾蒿酒方——（骨鲠）<br>骨鲠咽喉，以鱼刺为多。细柔的鱼鲠痛可用单方及以下药酒试治，硬骨及较粗鱼骨，梗塞咽喉，服药及药酒治疗无效时，则应施以手术取出。<br>（《圣济总录》）<br>【配方】艾蒿（切）一握。<br>【制法】上一味，以水酒各一盏，煎至八分，去滓。<br>【主治】治诸鱼骨鲠在喉中。<br>【用法】分温二服。<br>说明：民间用艾蒿一把，细切，用水、酒各一小杯，同药煎数沸，去渣，分两次温服，治诸鱼骨鲠在喉中。
艾叶酒（二）	艾叶酒（二）——（妊娠出血）<br><br>（《妇人大全良方》）<br>【配方】生艾叶（研，冬用茎，干者亦得）一斤。<br>【制法】上以酒五升，煮取二升。<br>【主治】疗妊娠卒下血及子淋。<br>【用法】分三服。
艾叶酒（一）	艾叶酒（一）——（妊娠出血）<br><br>（《普济方》）<br>【配方】艾叶如鸡子大。<br>【制法】上以酒三升，煮取二升，去滓分两服。<br>【主治】治妊娠卒下血不止及治子淋；亦治妊娠忽胎动不安，但腰痛，忽胎转抢心；或下血不止。<br>【用法】不拘时温服。
艾叶酒方	艾叶酒方——（癞病）<br>（《圣济总录》）<br>【配方】干艾叶（浓煮取汁），每一斗米曲用艾叶五两。<br>【制法】上一味，随曲米多少，用煎浓汁拌浸，酝如常法。<br>【主治】治白癞。<br>【用法】酒熟不拘时稍稍饮之，常令酒势相接醺醺然。<br>说明：《普济方》注出“肘后方”，同上。
菴蔄子酒	菴蔄子酒——（产后瘀血）<br><br>（《普济方》）<br>【配方】菴蔄子一斤，桃仁（浸去皮尖双仁麸炒）二斤，大麻仁一斤。<br>【制法】上用好酒三斗同入黄瓷中密封已，以糠火养半日久。<br>【主治】治产后风冷，留血不去停结，月水闭塞。<br>【用法】每日空心温服一中盏，午时食前再服。<br>说明：《普济方》注出《太平圣惠方》。
菴蔄子酒方	菴蔄子酒方——（闭经）<br><br>（《普济方》）<br>【配方】菴蔄子一升，桃花（汤浸去皮尖双仁）二升。<br>【制法】上药都捣令碎，于磁瓶内以酒二斗浸，密封头五日。<br>【主治】治妇人夙有风冷，留血结聚，月水不通。<br>【用法】每服暖饮三合，渐加至五合，日三服。<br>说明：《普济方》注出《太平圣惠方》）。
