其它篇	生锈	    梦见生锈的东西，是不祥之兆。<br />梦见生锈的炊具，收入会减少。<br />女人梦见生锈的炊具，家务会一塌糊涂。<br />梦见生锈的武器，是凶兆，失败会接连不断。<br />梦见敌人运送生了锈的武器，是祥兆，能降服敌人 。<br />
其它篇	火箭	    男人梦见火箭，会升官进爵。<br />女人梦见火箭，家里要举办婚礼。<br />梦见火箭展览，每天所挣仅够糊口。<br />梦见出售火箭，是不祥之兆，倒霉的日子会来到。<br />梦见制造火箭，能征服敌人。<br />船员梦见火箭，航海会成功。<br />
其它篇	轮船	    男人梦见轮船停泊在码头上，不久要乘船出国。<br />已婚女子梦见轮船停泊在码头，会与丈夫分离。<br />未婚女子梦见轮船在码头停泊，会嫁给一位有钱的商人。<br />梦见轮船从自己面前驶过，要破财。<br />梦见轮船朝自己驶来，会发大财。<br />商人梦见轮船向自己驶来，去国外做生意，能赚大钱。<br />梦见满载货物的轮船，能找到好工作。<br />梦见空轮船，会失去经济来源。<br />梦见军舰，能击败敌人。<br />海军军官梦见军舰，在未来的战斗中能获得最高军功章。<br />船员梦见轮船，要进行幸福旅行。<br />梦见有很多艘轮船，能交好运。<br />梦见造船，会做收入低的工作。<br />梦见轮船断裂，灾祸会降临 。<br />
其它篇	污泥	    梦见从污泥或泥潭中通过，会遇到危险和不幸。<br />梦见泥潭（或污泥），会避免重大危险。<br />梦见陷入泥潭，会卧床不起。<br />梦见往污泥里扔石头，会与部下发生争吵，名誉受损。<br />梦见浑身沾满污泥，象征着身体强壮。<br />已婚女人走到污泥里，会被世俗锁事而纠缠。<br />
其它篇	森林	    梦见森林，是发财的兆头。<br />梦见在森林里迷路，会上仇人的当，陷入困境。<br />梦见围猎的森林，仇人会战胜自己。<br />离开家的人梦见森林，能很快归来 .男性病人梦见森林，病情会恶化。<br />
其它篇	冰	    梦见冰，会得到别人的支持。<br />女人梦见得到了冰，家境会富裕。<br />姑娘梦见冰，会找到一位称心如意的对象。<br />学生梦见得到冰，考试会取得优异的成绩。<br />梦见冰溶化了，会失去支持者。<br />小伙子梦见得到冰，恋人会和他同心同德，对他忠贞不谕。<br />商人梦见得到冰，生意会兴旺。<br />农民梦见得到冰，庄稼会丰收。<br />商人梦见在滑冰，生意会萧条。<br />小伙子梦见滑冰，恋人会朝三暮四，最终会抛弃自己。<br />士兵梦见滑冰，会有生命危险，也许会阵亡 。<br />
器物篇	烟斗	    男人梦见别人抽烟斗，生意间能获利。<br />梦见自己用烟斗吸烟，会身强力壮。<br />女人梦见烟斗，丈夫家会减少人口。<br />犯人梦见吸烟斗，很快能恢复自由。<br />梦见带着烟斗去参加大会，会德高望众。<br />梦见在群众大会上让别人抽烟斗，自已会被开除。<br />梦见修理烟斗，或购买新烟斗，不久要去参加婚礼。<br />梦见争烟斗，痛苦的事会接连不断。<br />未婚女子梦见烟斗，会失去良机。<br />病人梦见烟斗，很快能恢复健康 。<br />男人梦见烟，家庭要吵架。<br />但是女人梦见烟，丈夫会富有。<br />梦见烟囱冒烟，是祥瑞，生意会兴隆。<br />病人梦见烟，会长期卧床不起。<br />犯人梦见烟，关押的期限会延长。<br />梦见烟得喘不过气来，意味着身体很强壮。<br />已婚女人梦见烟得喘不过气来，丈夫家的人口会增加。<br />少女梦见烟，会嫁到一个有名望的家庭 。<br />
其它篇	雕像	    男人梦见雕像，很快会有好消息。<br />女人梦见雕像，丈夫的声誉会鹊起。<br />梦见自己的雕像，是祥兆，会升官进爵。<br />梦见铜铸像，身体会强健、长寿。<br />梦见白色的塑像，能连升三级。<br />梦见砸碎雕像，会遭到敌人的阴谋暗算。<br />梦见铸像，会身居高职。<br />梦见为某个大人物的塑像揭彩，会获得国家的高等荣誉。<br />   ,
其它篇	游船	    梦见乘游艇，生意会不断兴旺。<br />梦见和妻子一块驾驶游艇，夫妻生活会幸福、美满。<br />梦见别人乘快艇，大难将至。<br />女人梦见丈夫驾驶游艇，夫妻会感情不和。<br />病人梦见乘坐游艇，身体很快能恢复 。<br />
其它篇	鸦片	    梦见鸦片，要受损失。<br />梦见吃鸦片，会生病。<br />男人梦见给妻子鸦片，孩子会夭折。<br />梦见从陌生人那里得到鸦片，会上当受骗，遭毒手。<br />女人梦见吃鸦片，丈夫会不喜欢她。<br />病人梦见吃鸦片，身体会很快复原。<br />
其它篇	大门	    梦见从敞开的大门进来，能控制商业市场。<br />梦见关闭的大门，会遇到困难。<br />梦见铁大门，为了生存会拼搏不息。<br />梦见全副武装的士兵守卫大门，会在军事部门谋职。<br />梦见正想进大门，但被门卫拦住，会有不顺心的。<br />孕妇梦见不受阻拦地进了大门，意味着分娩很顺利生一个男孩。<br />
