阿胶地黄汤	阿胶地黄汤<br>【来源】《太平圣惠方》卷三十七。<br>【组成】生干地黄120克阿胶60克(捣碎，炒令黄燥)蒲黄60克<br>【用法】上药捣筛为散。每服9克，以水250毫升，入竹茹1鸡子大。煎至125毫升，去滓，食后温服。<br>【主治】热伤肺脏，唾血不止。<br>按：本方在原书中无方名，现据《普济方》卷一九○补。
阿胶黄连汤	阿胶黄连汤<br>【来源】《重订通俗伤寒论》。<br>【组成】陈阿胶4.5克(烊冲)生白芍6克小川连1.8克(蜜炙)鲜生地18克青子芩3克鸡子黄1枚(先煎代水)<br>【用法】水煎服。<br>【主治】伤寒邪传少阴，水为火烁，心烦不寐，肌肤枯燥，神气衰弱，咽干溺短，舌红尖绛，脉左细数，按之搏指，右脉反大而虚软者。
阿胶黄芩汤	阿胶黄芩汤<br>【来源】《重订通俗伤寒论》。<br>【组成】陈阿胶青子芩各9克甜杏仁生桑皮各6克生白芍3克生甘草2.4克鲜车前草甘蔗梢各15克<br>【用法】先用生糯米30克，开水泡取汁出，代水煎药。<br>【主治】秋燥。肺燥肠热，上则喉痒干咳，咳甚则痰粘带血，血色鲜红，胸胁串痰；下则腹热如焚，大便水泄如注，肛门热痛，甚或腹痛泄泻，泻必艰涩难行，似痢非痢，肠中切痛，有似鞭梗，按之痛甚，舌苔干燥起刺，兼有裂纹。
阿胶鸡子黄汤	阿胶鸡子黄汤<br>【来源】《重订通俗伤寒论》。<br>【组成】陈阿胶6克(烊冲)生白芍9克石决明15克(杵)双钩藤6克大生地12克清炙草1.8克生牡蛎12克(杵)络石藤9克茯神木12克鸡子黄2枚(先煎代水)<br>【用法】水煎服。<br>【功用】滋阴熄风。<br>【主治】伤寒邪传少阴，水亏火亢，液涸动风，筋脉拘挛，手足瘈疭者。
阿胶济阴汤	阿胶济阴汤<br>【来源】《胎产秘书》卷上。<br>【组成】阿胶白术各3克白芍当归川芎各3克砂仁(带壳)1.5克条芩蕲艾各4.5克香附2.4克炙甘草1.5克粘米1捏<br>【用法】用水500毫升，煎至250毫升，温服。<br>【主治】妊娠伤胎，致令子宫虚滑，经血淋漓者。
阿胶梅连丸	阿胶梅连丸<br>【来源】《宜明论方》卷十。<br>【组成】金井阿胶(净草灰炒透明白，别研，不细者再炒，研细)乌梅肉(去核，炒)黄柏(锉，炒)黄连当归(焙)赤芍药干姜(炮)赤茯苓各15克<br>【用法】上药研末，入阿胶研匀，水丸，如梧桐子大，小儿丸如绿豆大。每次10丸，空腹时用温米饮送下，一昼夜五六服。<br>【主治】阴虚下痢五色，腹痛，至夜发热。<br>【禁忌】服药期间，忌食油腻。
阿胶散1	阿胶散1<br>【来源】《太平圣惠方》卷七十五。<br>【组成】阿胶23克(捣碎，炒令黄燥)白茯苓23克白术23克当归30克(锉，微炒)陈橘皮30克(汤浸，去白、瓤，焙)芎藭23克甘草7.5克(炙微赤，锉)<br>【用法】上药捣筛为散。每服9克，以水250毫升，加生姜4克，大枣3枚，煎至150毫升，去滓，不计时候，稍热服。<br>【主治】妊娠胎动，腹中疠痛，不思饮食。
阿胶散2	阿胶散2<br>【来源】《小儿药证直诀》卷下。<br>【异名】补肺散((小儿药证直诀》卷下)、补肺阿胶散(《医方集解》)。<br>【组成】阿胶45克(麸炒)鼠粘子(炒香)甘草(炙)各7.5克马兜铃15克(焙)杏仁7个(去皮、尖，炒)糯米30克(炒)<br>【用法】上为末。每服3～6克，用水150毫升，煎至90毫升，食后温服。<br>【功用】养阴清肺，止咳平喘。<br>【主治】小儿肺虚有火，咳嗽气喘，咽喉干燥，咯痰不爽，或痰中带血，舌红少苔，脉浮细数。<br>【方论】方中重用阿胶滋阴养血为君，糯米、甘草健脾益气，培土生金为臣；马兜铃、牛蒡子清热降气，利膈化痰为佐；杏仁润肺化痰，止咳平喘为使。诸药合用，共奏养阴清肺，止咳平喘之效。
阿胶散3	阿胶散3<br>【来源】《三因极一病证方论》卷十三。<br>【组成】阿胶(麸炒)马兜铃各30克五灵脂(研)桑白皮各15克甘草(炙)7.5克<br>【用法】上药研末。每服3克，用水150毫升，煎取90毫升，食后、临卧时通口服。<br>【主治】虚人老人一切咳嗽。
阿胶散4	阿胶散4<br>【来源】《妇人大全良方》卷十二。<br>【组成】熟地黄60克白芍药艾叶当归甘草阿胶黄耆各30克(一方有川芎)<br>【用法】上药哎咀。每服15克，用水300毫升，加生姜3片，大枣1个，煎至210毫升，去滓温服，无时。<br>【主治】妊娠不问月数深浅，或因跌仆，或因毒药，胎动不安，腰痛腹满；或胎漏下血，短气乏力者。
阿胶散5	阿胶散5<br>【来源】《医学心悟》卷三。<br>【组成】阿胶(水化开，冲服)3克丹参生地各6克黑山栀丹参血余(即乱发烧灰，存性)麦冬当归各2.4克<br>【用法】水煎服。<br>【主治】心移热于膀胱，迫血妄行，致患尿血，脉数，舌赤者。
阿胶汤1	阿胶汤1<br>【来源】《圣济总录》卷九十六。<br>【组成】阿胶(炙令燥，别捣末)人参各30克干姜(炮)60克远志(去心)120克附子1枚(炮裂，去皮、脐)甘草(炙，锉)90克大麻仁(烂研)175克<br>【用法】上七味，粗捣筛五味，与麻仁拌匀。每服18克，用水300毫升，煎至150毫升，去滓，入间胶末1.5克，更煎两沸，空腹时温服，一日三次。<br>【主治】肾虚小便多。
阿胶汤2	阿胶汤2<br>【来源】《鸡峰普济方》卷十。<br>【组成】猪苓茯苓泽泻滑石阿胶各30克车前子15克<br>【用法】上为粗末。每服15克，用水300毫升，煎至150毫升，去滓温服，不拘时。<br>【主治】血淋。心气留热，搏于小肠，血随小便出，每尿辄痛，心脉大散而数。
阿胶丸	阿胶丸<br>【来源】《妇人大全良方》卷二十二。<br>【组成】阿胶赤石脂各45克续断川芎当归甘草丹参各30克龙骨鹿茸(酥炙)乌贼骨鳖甲(炙)各60克<br>【用法】上为细末，炼蜜为丸，如梧桐子大。空腹时用温酒送下20～30丸。<br>【主治】产后崩中，下血不止，虚羸无力。
阿胶枳壳丸	阿胶枳壳丸<br>【来源】《太平惠民和剂局方》卷九。<br>【组成】阿胶(碎，炒)枳壳(浸，去瓤，麸炒)各60克滑石(研飞为衣)15克<br>【用法】上药研末，炼蜜为丸，如梧桐子大。每服20丸，温水送下。半日大便仍未通，再服。<br>【主治】产后虚羸，大便秘涩。
