冬瓜、黄瓜、西瓜、南瓜都能吃，什么瓜不能吃？	傻瓜 
盆里有6只馒头，6个小朋友每人分到1只，但盆里还留着1只，为什么？	最后一个小朋友把盆子一起拿走了 
你能以最快速度，把冰变成水吗？	把“冰”字去掉两点，就成了“水”。 
冬天，宝宝怕冷，到了屋里也不肯脱帽。可是他见了一个人乖乖地脱下帽，那人是谁？ 理发师 
老王一天要刮四五十次脸，脸上却仍有胡子。这是什么原因？	老王是个理发师 
有一个字，人人见了都会念错。这是什么字？	这是“错”字 
小华在家里，和谁长得最像？	镜中的小华 
鸡蛋壳有什么用处？	用来包蛋清和蛋黄。 
不必花力气打的东西是什么？	打哈欠 
你能做，我能做，大家都做；一个人能做，两个人不能一起做。这是做什么？	做梦 
什么事每人每天都必须认真的做?	睡觉 
什么人始终不敢洗澡	泥人 
小明从不念书却得了模范生，为什么？	小明是聋哑学生 
什么车子寸步难行?	风车 
哪一个月有二十八天?	每个月都有28天 
你知道上课睡觉有什么不好吗?	不如床上舒服嘛 
什么酒不能喝?	碘酒 
什么蛋打不烂，煮不熟，更不能吃?	考试得的零蛋"0" 
打什么东西，不必花力气？	打瞌睡 
火车由北京到上海需要６小时，行使３小时后，火车该在什么地方？	在车轨上 
时钟什么时候不会走?	时钟本来就不会走 
书店里买不到什么书	遗书 
什么路最窄？	冤家路窄 
什么东西不能吃？ “东西”方向 
一个人从飞机上掉下来，为什么没摔死呢？	飞机停在地上 
一年四季都盛开的花是什么花?	塑料花 
什么英文字母最多人喜欢听?	CD 
什么人生病从来不看医生?	盲人 
小明知道试卷的答案,为什么还频频看同学的?	小明是老师 
用铁锤锤鸡蛋为什么锤不破？	铁锤当然不会破了 
拳击冠军很容易被谁击倒？	瞌睡虫 
什么事天不知地知，你不知我知？	鞋底破了 
一个人在沙滩上行走，但在他的身后却没有发现脚印，为什么?	他在倒着走 
一位卡车司机撞倒一个骑摩托车的人，卡车司机受重伤，摩托车骑士却没事，为什么？	卡车司机当时没开车 
早晨醒来，每个人都要做的第一件事是什么？	睁开眼睛 
你能用蓝笔写出红字来吗?	写个“红”字有何难 
汽车在右转弯时，哪只轮胎不转？	备用胎 
孔子与孟子有什么区别?	孔子的子在左边，孟子的子在上边 
为什么小王从初一到初三就学了一篇课文？	初一到初三，两天学一课，算不错了！ 
一个人空肚子最多能吃几个鸡蛋？	一个。因为吃了一个后就不是空肚子了
当哥伦布一只脚迈上新大陆后，紧接着做什么？	迈上另一只脚 
毛毛虫回到家，对爸爸说了一句话，爸爸即场晕倒，毛毛虫说了什么话？	毛毛虫说：“我要买鞋。” 
飞机从天上掉下来，为什么没有一个受伤的？	全都死了 
太平洋的中间是什么？	是平字 
世界上最小的岛是什么？	马路上的安全岛 
