急性乙型黄疸性肝炎中药方剂	内科	传染病
急性黄疸性病毒肝炎中药方剂	内科	传染病
迁延性肝炎中药方剂	内科	传染病
慢性乙型肝炎中药方剂	内科	传染病
慢性活动性肝炎中药方剂	内科	传染病
慢性迁延性乙型肝炎中药方剂	内科	传染病
急性传染性黄疸性肝炎中药方剂	内科	传染病
急性病毒性肝炎中药方剂	内科	传染病
慢性病毒性肝炎中药方剂	内科	传染病
慢性肝炎中药方剂	内科	传染病
慢性萎缩性胃炎中药方剂	内科	消化类
腹泻的秘方	内科	消化类
治胃溃疡偏方4	内科	消化类
胃炎中药方剂	内科	消化类
治胃溃疡偏方2	内科	消化类
慢性胃炎中药方剂	内科	消化类
菠萝叶治肠炎腹泻	内科	消化类
胆囊炎、胆石症秘方	内科	消化类
胃溃疡中药方剂	内科	消化类
治胃溃疡偏方	内科	消化类
胃溃疡偏方3	内科	消化类
胃下垂的偏方	内科	消化类
胃下垂的偏方2	内科	消化类
溃疡性结肠炎中药方剂	内科	消化类
非特异性溃疡性结肠炎中药方剂	内科	消化类
消化性溃疡的偏方	内科	消化类
消化不良的偏方2	内科	消化类
消化不良1的偏方	内科	消化类
慢性结肠炎中药方剂	内科	消化类
治疗便秘的偏方14	内科	泌尿类
治疗便秘的偏方13	内科	泌尿类
治疗便秘的偏方10	内科	泌尿类
胆结石中药方剂	内科	消化类
粘连性肠梗阻中药方剂	内科	消化类
萎缩性胃炎中药方剂	内科	消化类
治疗便秘的偏方11	内科	泌尿类
治疗便秘的偏方15	内科	泌尿类
治疗便秘的偏方2	内科	泌尿类
治疗便秘的偏方16	内科	泌尿类
治疗便秘的偏方17	内科	泌尿类
治疗便秘的偏方18	内科	泌尿类
治疗便秘的偏方21	内科	泌尿类
治疗便秘的偏方19	内科	泌尿类
治疗便秘的偏方9	内科	泌尿类
治疗便秘的偏方20	内科	泌尿类
治疗便秘的偏方7	内科	泌尿类
治疗便秘的偏方23	内科	泌尿类
丝瓜花治疗便血	内科	泌尿类
治疗便秘的偏方22	内科	泌尿类
肝硬化腹水中药方剂	内科	消化类
十二指肠球部溃疡中药方剂	内科	消化类
干艾叶治排便不畅	内科	泌尿类
直肠溃疡中药方剂	内科	消化类
胃结石中药方剂	内科	消化类
十二指肠溃疡中药方剂	内科	消化类
脾脏肿大中药方剂	内科	消化类
蜂蜜治便秘	内科	泌尿类
便秘的临床表现及疗法	内科	泌尿类
便秘常用的有效的偏方	内科	泌尿类
枣树皮煎水治腹泻	内科	消化类
便秘治疗的新疗法	内科	泌尿类
老年结肠功能紊乱中药方剂	内科	消化类
民间治老年便秘方	内科	泌尿类
治妊娠便秘方	妇科	妊娠病
合理饮食治便秘	内科	泌尿类
润肠通便单味中药	内科	泌尿类
中药对便秘的治疗	内科	泌尿类
应用甘露醇治疗便秘	内科	泌尿类
哪些维他命可以治疗便秘	内科	泌尿类
肠粘连中药方剂	内科	消化类
便秘良方	内科	泌尿类
慢性便秘药膳方	内科	泌尿类
治习惯性便秘民间方	内科	泌尿类
洋葱糖浆止泻	内科	消化类
佛手治胃痛	内科	消化类
治胃源性腹泻方	内科	消化类
黄鳝治久痢虚症	内科	消化类
菱角治痢疾胃溃疡	内科	消化类
海蜇大枣治胃溃疡	内科	消化类
胃下垂中药方剂	内科	消化类
车前子治水泻	内科	消化类
食蒜治拉肚子	内科	消化类
蛔虫性肠梗阻中药方剂	内科	消化类
蒜酒治便秘	内科	泌尿类
肠梗阻中药方剂	内科	消化类
中毒性菌痢中药方剂	内科	消化类
胆石症急性发作验方	内科	消化类
早期肝硬化中药方剂	内科	消化类
肝脓肿中药方剂	内科	消化类
治疗胆结石偏方	内科	消化类
胃扭转中药方剂	内科	消化类
治疗便秘的偏方12	内科	泌尿类
热敷疗法治便秘	内科	泌尿类
麸皮拌萝卜丝治便秘	内科	泌尿类
喝艾叶水治便秘	内科	泌尿类
冬瓜瓤治便秘	内科	泌尿类
核桃仁治便秘	内科	泌尿类
猕猴桃治便秘	内科	泌尿类
便秘中药方剂	内科	泌尿类
治疗便秘秘方三则	内科	泌尿类
治疗便秘的秘方	内科	泌尿类
排毒调补法治老年性便秘	内科	泌尿类
便秘的偏方2	内科	泌尿类
便秘的偏方4	内科	泌尿类
便秘的偏方3	内科	泌尿类
便秘的偏方	内科	泌尿类
习惯性便秘的几个偏方	内科	泌尿类
急性细菌性痢疾中药方剂	内科	消化类
肝炎的偏方7	内科	传染病
治疗便秘三法	内科	泌尿类
攻补兼施治便秘	内科	泌尿类
消化不良选啥药	内科	消化类
胃下垂食疗	内科	消化类
民间用豆腐治病验方	内科	消化类
腹泻验方	内科	消化类
鲜松叶治急性肠炎	内科	消化类
快速止嗝法	内科	消化类
红薯叶通便	内科	泌尿类
山姜籽治腹泻	内科	消化类
18种解决便秘的方法	内科	泌尿类
治疗便秘的偏方5	内科	泌尿类
产后便秘处置法	妇科	产后病
便秘治疗	内科	泌尿类
奶蜜葱汁治老人便秘	内科	泌尿类
胃下垂验方	内科	消化类
空腹喝紫菜汤可治便秘	内科	泌尿类
治疗便秘的偏方1	内科	泌尿类
治疗便秘的偏方4	内科	泌尿类
治疗便秘的偏方6	内科	泌尿类
治疗便秘的偏方3	内科	泌尿类
芋头粥治便秘	内科	泌尿类
胃炎良方	内科	消化类
土豆汁治便秘	内科	消化类
成人上吐下泻秘方	内科	消化类
治下痢秘方	内科	消化类
胆囊炎的偏方	内科	消化类
慢性盲肠炎秘方	内科	消化类
消化性溃疡的偏方2	内科	消化类
腹泻偏方1	内科	消化类
胆结石验方	内科	消化类
肝硬化秘方	内科	消化类
消化不良的偏方3	内科	消化类
枇杷叶治便秘	内科	泌尿类
便秘的偏方5	内科	泌尿类
公务人员的胃肠秘方	内科	消化类
一般有损胃肠之青果	内科	消化类
感冒的偏方5	内科	呼吸类
胃寒痛方	内科	消化类
消化不良奇方	内科	消化类
十二指肠溃疡秘方	内科	消化类
治习惯性便秘方	内科	泌尿类
胃溃疡秘方	内科	消化类
胃痛、胃涨良方	内科	消化类
阿米巴痢疾偏方	内科	消化类
土豆汁治十二指肠溃疡	内科	消化类
胃部出血良方	内科	消化类
胆石症秘方	内科	消化类
阿胶治结肠炎	内科	消化类
胃痛胃窦炎胀气吐酸	内科	消化类
慢性胃炎胃寒胃下垂	内科	消化类
胃、十二指肠溃疡	内科	消化类
急性肠炎	内科	消化类
慢性肠炎、腹泻	内科	消化类
消化不良	内科	消化类
内热口干	内科	消化类
黄疸肝炎	内科	传染病
慢性肝炎	内科	传染病
肝硬化腹水	内科	消化类
胆囊炎	内科	消化类
痢疾、泄泻	内科	消化类
如何治疗咳嗽	内科	呼吸类
民间常用的润喉清音方	内科	呼吸类
贝母	内科	呼吸类
党参百合粥	内科	呼吸类
川明参烧雅鱼	内科	呼吸类
润肺止咳的杏梨饮茶	内科	呼吸类
瓜蒌饼	内科	呼吸类
附子生姜炖狗肉	内科	呼吸类
有止咳化痰作用的中药	内科	呼吸类
落花生粥	内科	呼吸类
四仁大战	内科	呼吸类
车前子粥	内科	呼吸类
