坑前有个盆	坑前有个盆，盆里有个瓢，<br>瓢里盛着钱，拿钱去商店买糖，<br>尝尝糖，甜不甜，不甜不给钱！
从前有个猪八戒	从前有个猪八戒，<br>走到百花桥娘头，<br>跑到百花店里头，<br>坐勒八仙台娘头，<br>吃腊铜钱八元八角八分八厘八、八、八、八、八…… 
老师撕试纸	老师撕试纸,试纸变紫纸。
妈妈卖麦	妈妈卖麦，麦卖妈妈买袜。
滚花龙缸盛滚龙虾汤	滚花龙缸盛滚龙虾汤，虾汤鲜，花缸掀。 
我都家列有只白鼻头猫	我都家列有只白鼻头猫,<br>白鼻头婆婆家列也有只白鼻头猫,<br>白鼻头婆婆家列个白鼻头猫没落列,<br>硬刚我都家列个白鼻头猫是白鼻头婆婆家列个白鼻头猫。
舅舅吃酒	舅舅吃酒，酒醉舅舅求救。 
清水煮青鱼	清水煮青鱼，清水注进青鱼嘴。
八个人夹八根夹棍	八个人夹八根夹棍。（念五遍）
老狼走进老狼	庙老狼走进老狼庙，探落老凉帽。
广东话绕口令	郭蔼明见过郭可盈，话郭可盈个袋型，郭可盈叫郭蔼明过海改个袋型，改成郭可盈个袋 
上海话绕口令	庙里一只猫，庙外一只猫。<br>庙里猫咬庙外猫，庙外猫咬庙里猫。<br>勿晓得到底是庙里猫咬庙外猫，还是庙外猫咬庙里猫。
土堆土豆腿肚子	土堆土豆腿肚子。（念五遍）
风风和东东	风风和东东一起去打工，<br>找到一个桶，<br>挖了一个洞,<br>风风拿着桶,<br>东东钻进洞。
大猫抱小猫	大猫抱小猫，<br>小猫找大猫。<br>大猫抱小猫藏猫猫，<br>小猫在大猫的怀里叫喵喵。 
喝水	菲菲有只灰黑杯，<br>辉辉有只黑灰杯，<br>菲菲喝水不用黑灰杯用灰黑杯，<br>辉辉喝水不用灰黑杯用黑灰杯。<br>菲菲辉辉爱卫生，<br>不乱用灰黑杯和黑灰杯。
