阿胶白皮粥	阿胶白皮粥<br>【来源】《养生康复粥谱》<br>【原料】阿胶、桑白皮各15克，糯米100克，红糖8克。<br>【制作】将桑白皮水煎2次，去渣取汁。糯米淘净人锅内，加水煮10分钟，倒入药汁、阿胶，粥熟入红糖。<br>【用法】每日服2次，早晚空腹服食。<br>【疗效】补血滋阴，润燥清肺。适用于血虚、阴虚久咳咯血、月经过少、崩漏、便血等症。
阿胶龙骨粥	阿胶龙骨粥<br>【来源】《太平圣惠方》<br>【原料】阿胶15克，龙骨15克，艾叶6克，糯米50-100克。<br>【制作】先煎龙骨及艾叶，去渣取汁，后入糯米煮粥，临熟，将捣碎的阿胶放入粥中，搅匀令烊化。<br>【用法】空腹服食。<br>【疗效】养血、止血、安胎。治血虚失养、冲任虚寒而致妊娠胎动不血等。
阿胶粥	阿胶粥<br>【来源】《食医心鉴》<br>【原料】阿胶30克，糯米100克，红糖适量。<br>【制作】先将糯米煮粥，待粥将熟时，放人捣碎的阿胶，边煮边搅匀，稍煮l一2沸，加入红糖即可。<br>【用法】每日分2次服，3-5日为l疗程。<br>【疗效】滋阴补虚，养血止血，安胎。适用于功能失调性子宫出血及血虚，咳血，蛆血，大便出血等。<br>【注意事项】连续服用可有胸满气闷的感觉，故宜间断服用。脾胃虚弱者不宜多食。
艾叶粥	艾叶粥<br>【来源】经验方<br>【原料】干艾叶15克(鲜品30克)，粳米100克，红糖适量。<br>【制作】将艾叶煎汁去渣。将粳米、红糖放入药汁中煮粥。<br>【用法】早晚温热服食。但月经期间不宜服。<br>【疗效】温暖子宫。适用于宫冷不孕等症。
安胎鲤鱼粥	安胎鲤鱼粥<br>【来源】《太平圣惠方》<br>【原料】鲤鱼1尾(重约1斤)，芝麻根15克，糯米50-100克，盐、葱、姜各少许。<br>【制作】先将鲤鱼去鳞及内脏，洗净后切块煮汤，再煮芝麻根，去渣取汁，后入鲤鱼汤、糯米、盐、葱、姜等煮粥。<br>【用法】空腹服食。<br>【疗效】安胎，止血，消肿。治疗妊娠下血、胎动不安或尿少浮肿等症。
巴戟羊肉粥	巴戟羊肉粥<br>【来源】经验方<br>【原料】巴戟、肉苁蓉各10-15克，精羊肉63克，粳米100克，精盐适量，葱白2茎，生姜3片。<br>【制作】分别将巴戟、肉苁蓉、精羊肉洗净后细切。先用砂锅煎巴戟、肉苁蓉取汁去渣，入羊肉，粳米同煮，待煮沸后，再加入精盐、生姜、葱白煮为稀粥。<br>【用法】每日1-2次，温暖，5-7日为l疗程。<br>【疗效】补肾助阳，健脾养胃，润肠通便。适用于肾阳虚弱所致的女子不孕，男子阳痿，遗精，早泄，腰膝冷痛，小便频数，夜间多尿，遗尿，以及老年阳虚便秘等症。<br>【注意事项】凡大便溏薄，性功能亢进者慎用。
白狗骨粥	白狗骨粥<br>【来源】民间方<br>【原料】白狗骨、大米、调味品各适量。<br>【制作】将白狗骨熬汤。洗净大米，以骨汤煮粥。加调味品食用。<br>【用法】空腹温热服食。<br>【疗效】补妇人虚损。适用于妇女体虚不孕等症。
白果莲肉粥	白果莲肉粥<br>【来源】《濒湖集简方》<br>【原料】白果6克，莲肉15克，江米50克，乌骨鸡1只。<br>【制作】先将乌鸡去毛及内脏，白果、莲肉研末，纳入鸡膛内，再入米、水，慢火煮熟，加调味品即成。<br>【用法】食肉饮粥，日服2次。<br>【疗效】补肝肾，止带浊。适用于下元虚惫，赤白带下。
白果羊肾粥	白果羊肾粥<br>【来源】《饮膳正要》<br>【原料】白果10-15克，羊肾1个，羊肉；粳米各50克，葱白3克。<br>【制作】将羊肾洗净，去腮腺脂膜，切成细丁，葱白洗净切成细节，羊肉洗净，白果、粳米淘净，再将它们一同放入锅内，加水适量熬粥，待肉熟米烂成粥时即成。<br>【用法】吃羊肾、羊肉、白果，喝粥，每日2次，温热食。<br>【疗效】补肾止遗。适用于小儿遗尿。<br>【注意事项】阴虚火旺者忌食。
白芨粥	白芨粥<br>【来源】民间方<br>【原料】白芨粉15克，糯米100克，大枣5枚，蜂蜜25克。<br>【制作】用糯米、大枣、蜂蜜加水煮，至粥将熟时，将白芨粉加入粥中，改文火稍煮片刻，待粥汤粘稠即可。<br>【用法】每日2次，温热服食。10天为一疗程。<br>【疗效】补肺止血，养胃生肌。适用于肺胃出血、胃及十二指肠溃疡出血等。
